Color Combination,Category
red and white,classic & bold
red and blue,classic & edgy
red and black,classic & fresh
blue and white,classic & fresh
blue and yellow,fashion-forward & cheerful & vibrant
blue and grey,classic & cool
green and brown,natural & earthy
green and white,fresh & clean
green and purple,fashion-forward & vibrant & contrasting
green and beige,basic & neutral
yellow and gray,modern & contemporary
yellow and blue,fashion-forward & bold & contrasting
yellow and black,classic & energetic & high-contrast
orange and blue,fashion-forward & vibrant & energetic
orange and brown,classic & autumnal & warm
orange and white,classic & fresh & summery
brown and green,natural & earth-toned
pink and gray,basic & soft & elegant
pink and blue,fashion-forward & sophisticated & feminine
pink and white,classic & feminine & delicate
purple and pink,harmonious & playful
black and white,classic & timeless
black and gray,classic & sleek & sophisticated
grey and pastel shades,casual & soft & muted
grey and red,sophisticated & modern
grey and yellow,neutral & pop of color & liveliness
